DIAL_DIGIT_KEY,EVENT_DIRECTION_KEY,SDCA_LOCATION_CODE,TARGET_REGION_DESC,TARGET_COUNTRY_CODE,TARGET_COUNTRY_DESC,LDCA_NAME,SDCA_NAME,LDCC_X_COORD,LDCC_Y_COORD,CDSS_X_COORD,CDSS_Y_COORD,ISO_COUNTRY_CODE,RATE_CALSS,DIAL_DIGIT_DESC,PREFIX_IND,LIST_TYPE_ID_KEY,HOTLIST_IND,TEST_EVENT_IND,EVENT_CATEGORY_KEY,DM_IND,EVENT_TYPE_KEY,LENGTH,PROVIDER_DESC,BU_KEY,NOP_ID_KEY,FORCE_RI_IND,POPULATION_DATE_TIME,UPDATE_DATE_TIME
2491432,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,"MOBIPHONE  || nokia smart messaging (monophonic ringtones, pictures, logos)",1,125,9,02/24/2009 11:26:46,
2491433,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,"SMS CLUB  || club messages (different clubs such as woman, men, beauty etc)",1,125,9,02/24/2009 11:26:46,
2491434,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSTV CHAT,1,125,9,02/24/2009 11:26:46,
2491435,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSTV CHAT,1,125,9,02/24/2009 11:26:46,
2491436,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSTV CHAT,1,125,9,02/24/2009 11:26:46,
2491437,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSTV CHAT,1,125,9,02/24/2009 11:26:46,
2491438,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSTV CHAT,1,125,9,02/24/2009 11:26:46,
2491439,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSALJAZZERA CHANNEL (VOTE),1,125,9,02/24/2009 11:26:46,
2491440,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSALJAZEERA CHANNEL (CHAT),1,125,9,02/24/2009 11:26:46,
2491441,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSVIN TV CHANNEL(IRAQ) ,1,125,9,02/24/2009 11:26:46,
2491442,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSREADING FROM ,1,125,9,02/24/2009 11:26:46,
